question,answer
"איפה הסניפים של מנדלבוים?","יש לנו סניפים בירושלים ובתל אביב. כתובות מדויקות מופיעות באתר בעמוד 'צור קשר'."
"מה שעות הפעילות של החנויות?","ימי א׳-ה׳: 09:00-18:00; יום ו׳: 09:00-13:00; שבת – סגור."
"מה עלות המשלוח?","משלוח בתוך גוש דן – 150 ש״ח. משלוח לשאר חלקי הארץ – 250 ש״ח."
"תוך כמה זמן מגיע המשלוח?","זמן האספקה הוא עד 14 ימי עסקים מרגע ביצוע ההזמנה, בהתאם לזמינות המוצר."
"האם ניתן להחזיר מוצרים?","כן. ניתן להחזיר מוצרים תוך 14 יום מהקניה, כל עוד הם לא בשימוש ובאריזה המקורית."
"איך מתבצע ההחזר הכספי?","ההחזר יתבצע לאמצעי התשלום שבו בוצעה העסקה, בניכוי דמי ביטול על פי החוק."
"מה לגבי מזרנים ומצעים?","ניתן להחזיר מצעים וכריות באריזה סגורה בלבד. מזרנים ניתן להחזיר רק אם לא נעשה בהם שימוש."
"איך ניתן לשלם באתר?","ניתן לשלם בכרטיסי אשראי, העברה בנקאית, או בתשלומים (בכפוף לתנאי החברה)."
"האם יש אחריות על המוצרים?","כן. כל המוצרים מגיעים עם אחריות יצרן, בדרך כלל ל-10 שנים על מזרנים ול-1 שנה על ריהוט משלים."
"איך אפשר לקבל ייעוץ והתאמה אישית?","ניתן ליצור קשר עם נציג טלפוני או להגיע לסניפים ולקבל ייעוץ מקצועי על פי הצרכים האישיים."
